serial_number,monthly_income,employment_status,existing_loans,credit_score,loan_purpose,loan_amount_requested,debt_to_income_ratio,repayment_history,defaulted
1,20109,Student,0,570,Home Improvement,692370,0.4432613081010347,Fair,1
2,17205,Retired,3,373,Car Loan,4002768,0.296478244577514,Good,1
3,178991,Unemployed,0,360,Travel,2279972,0.79,Poor,1
4,161775,Retired,7,850,Education,3899064,0.2885023208624207,Fair,1
5,169274,Retired,8,700,Medical,3775187,0.2218442012294555,Poor,1
6,33007,Self-employed,5,639,Education,2570804,0.1978739174943572,Good,1
7,147028,Unemployed,2,486,Travel,3551365,0.34,Good,0
8,118806,Unemployed,5,697,Education,2144952,0.3109864134890074,Good,0
9,152257,Unemployed,3,557,Medical,2064079,0.3972967255831625,Fair,0
10,77261,Retired,6,316,Education,3184734,0.42,Poor,0
11,162035,Student,4,385,Medical,2868012,0.2412597980966698,Fair,1
12,130071,Unemployed,1,352,Travel,3383384,0.2416848933689981,Fair,0
13,158088,Retired,3,576,Medical,2337464,0.1944284115265766,Fair,0
14,34555,Self-employed,0,653,Car Loan,626542,0.671179772678937,Fair,1
15,73971,Student,9,814,Car Loan,3668895,0.3039823647870392,Poor,1
16,60319,Self-employed,5,463,Medical,2698073,0.7126575814588312,Poor,0
17,102193,Student,3,826,Home Improvement,573179,0.6,Fair,0
18,68270,Retired,4,373,Business,4515525,0.5493716908601036,Fair,1
19,16460,Employed,7,329,Home Improvement,4766767,0.670473679365852,Good,1
20,74622,Student,10,689,Medical,884535,0.3993067427508645,Good,1
21,173316,Self-employed,1,591,Business,4754759,0.7760007517431426,Poor,1
22,103009,Retired,5,516,Car Loan,3634155,0.6520592747392803,Good,0
23,182510,Student,4,405,Business,3776589,0.7680343348589362,Poor,0
24,167710,Employed,5,464,Medical,1543887,0.3898518510801886,Poor,1
25,45020,Employed,3,704,Car Loan,2141918,0.2494227838797549,Poor,0
26,28422,Unemployed,2,592,Business,480747,0.5856082211992596,Good,0
27,59678,Unemployed,5,837,Business,3621656,0.44,Good,1
28,130296,Self-employed,6,725,Home Improvement,1979070,0.248732826614144,Poor,0
29,21908,Student,5,314,Business,1748766,0.1073108765568932,Poor,1
30,54360,Student,8,402,Travel,2316485,0.3413241878163492,Fair,1
31,96326,Unemployed,9,695,Medical,1497271,0.07,Poor,1
32,141166,Student,7,488,Debt Consolidation,1925633,0.1122201377890309,Poor,1
33,115066,Student,10,771,Debt Consolidation,1133583,0.1141413613320814,Fair,0
34,64434,Employed,1,320,Debt Consolidation,1160746,0.2303928862631785,Poor,0
35,185625,Unemployed,2,754,Medical,4131423,0.6704660315207784,Poor,1
36,86398,Retired,4,659,Debt Consolidation,1597746,0.4820693688605676,Poor,0
37,83909,Unemployed,9,558,Home Improvement,763079,0.2944879925663372,Fair,1
38,83673,Retired,5,317,Medical,2061982,0.51,Good,0
39,95904,Employed,3,666,Travel,1968847,0.6803006522108633,Poor,0
